index,name,category
1125,MM-Voice 3,-1
1126,MM-Voice 4,-1
1127,DbVoxFem,-1
1128,Fem Voice,-1
1129,Lady Vox,-1
1130,Space Vox,-1
1131,Syn Vox,-1
1132,Bell+Pno 1,-1
1133,Bell+Pno 2,-1
1134,Bell+Vibe1,-1
1135,Bell+Str,-1
1136,Bell+Vibe2,-1
1137,Cho+Marimb,-1
1138,Clavi+Bass,-1
1139,DX-Ba+Lead,-1
1140,DX-HpSt,-1
1141,EP+Brass 1,-1
1142,EP+Brass 2,-1
1143,EP+Chime,-1
1144,EP+Clavi,-1
1145,Elec Combi,-1
1146,Glock+Brs,-1
1147,Glock+Pno,-1
1148,Harp+Flute,-1
1149,Koto+Flute,-1
1150,MalletHorn,-1
1151,Mrmb+Gtr,-1
1152,Orch Chime,-1
1153,Pno+Flute,-1
1154,StringTine,-1
1155,Xylo+Brass,-1
1156,DX-SynLd 1,-1
1157,DX-SynLd 2,-1
1158,DX-SynLd 3,-1
1159,DX-SynLd 4,-1
1160,DX-SynLd 5,-1
1161,DX-SynLd 6,-1
1162,DX-SynLd 7,-1
1163,DX-SynLd 8,-1
1164,DX-SynLd 9,-1
1165,Pluck Lead,-1
1166,Perka Lead,-1
1167,GuitsynLd,-1
1168,DXSynLd 1,-1
1169,DXSynLd 2,-1
1170,DXSynLd 3,-1
1171,DXSynLd 4,-1
1172,DXSynLd 5,-1
1173,DXSynLd 6,-1
1174,DXSynLd 7,-1
1175,DXSynLd 8,-1
1176,SqueezeLd,-1
1177,Mooganic,-1
1178,BrassLead1,-1
1179,BrassLead2,-1
1180,BrassLead3,-1
1181,BrassLead4,-1
1182,Saw Lead,-1
1183,DX-SawLd 1,-1
1184,DX-SawLd 2,-1
1185,DX-Squar,-1
1186,DX-VoiceLd,-1
1187,DX-WahLead,-1
1188,DXAttackLd,-1
1189,CaliopLd 1,-1
1190,CaliopLd 2,-1
1191,CaliopLd 3,-1
1192,Fifths 1,-1
1193,Fifths 2,-1
1194,LdSubHarm,-1
1195,Buzzer,-1
1196,Au Campo,-1
1197,Bass Lead,-1
1198,Comp Lead,-1
1199,EadgbeLead,-1
1200,Flap Synth,-1
1201,FretlessLd,-1
1202,Giovanni,-1
1203,HarmoSynth,-1
1204,Lead Line,-1
1205,Lead Phone,-1
1206,Lyle Lead,-1
1207,PekingLead,-1
1208,Puff Pipe,-1
1209,Reed Lead,-1
1210,SingleLine,-1
1211,Super DX,-1
1212,Sweep Lead,-1
1213,Vibratoron,-1
1214,DX-Vocoder,-1
1215,Winwood,-1
1216,DrkSweeper,-1
1217,AnaBrsPad,-1
1218,8bitStrPad,-1
1219,DX-ChoPad1,-1
1220,DX-ChoPad2,-1
1221,Bow Pad 1,-1
1222,Bow Pad 2,-1
1223,Bow Pad 3,-1
1224,Glassharp,-1
1225,Wineglass,-1
1226,Ice Galaxy,-1
1227,Ice Heaven,-1
1228,Hit Pad 1,-1
1229,Hit Pad 2,-1
1230,SynBrsPad1,-1
1231,SynBrsPad2,-1
1232,SynBrsPad3,-1
1233,SynBrsPad4,-1
1234,SynBrsPad5,-1
1235,SynBrsPad6,-1
1236,SynBrsPad7,-1
1237,Vector Pad,-1
1238,Pada Perka,-1
1239,DX-MetalPd,-1
1240,DX-SawPad,-1
1241,Anna Pad,-1
1242,Baroque,-1
1243,BrassyWarm,-1
1244,Bright Pad,-1
1245,Clavi Pad,-1
1246,Digi Pad,-1
1247,Dispo Pad,-1
1248,Ethereal,-1
1249,Film Pad,-1
1250,Fl.Cloud,-1
1251,Floating,-1
1252,Forest99,-1
1253,Gior Pad,-1
1254,GreenPeace,-1
1255,Grunge Pad,-1
1256,Hyper Sqr,-1
1257,MM-Pretty,-1
1258,MonsterPad,-1
1259,Orwell,-1
1260,PhaseSweep,-1
1261,Phasers,-1
1262,Glass Pad,-1
1263,Sanctus,-1
1264,StacHeaven,-1
1265,Sweep Pad,-1
1266,Water Log,-1
1267,Spec-trail,-1
1268,Whaser Pad,-1
1269,Whisper,-1
1270,WhistlePad,-1
1271,DX-ScFi 1,-1
1272,DX-ScFi 2,-1
1273,DX-ScFi 3,-1
1274,Image 1,-1
1275,Image 2,-1
1276,Laser 1,-1
1277,Laser 2,-1
1278,Laser 3,-1
1279,Ri-zer,-1
1280,MM-Shock 1,-1
1281,MM-Shock 2,-1
1282,Wallop 1,-1
1283,Wallop 2,-1
1284,Angel,-1
1285,BackSuir,-1
1286,Bird View,-1
1287,ChorusElms,-1
1288,DX-Stars,-1
1289,Electric,-1
1290,Evolution,-1
1291,FM-Growth,-1
1292,Paddawire,-1
1293,Fantasynt,-1
1294,Fluv Push,-1
1295,Fmilters,-1
1296,Glassy,-1
1297,Glastine,-1
1298,Glocker,-1
1299,IceRevEcho,-1
1300,InitEnsmbl,-1
1301,MetalSweep,-1
1302,SquareModd,-1
1303,Mpndg Doom,-1
1304,Mystrian,-1
1305,RepertRise,-1
1306,Space Trip,-1
1307,Syn Rise,-1
1308,Glider,-1
1309,Anna DX,-1
1310,Analog-X,-1
1311,DX-Atms 1,-1
1312,DX-Atms 2,-1
1313,DX-Bright1,-1
1314,DX-Bright2,-1
1315,90 K,-1
1316,200 K,-1
1317,Arrow-X,-1
1318,Attacker,-1
1319,Harp Pad,-1
1320,ChiLight,-1
1321,Digi Calio,-1
1322,Digitar,-1
1323,Distracted,-1
1324,FinerThing,-1
1325,Fuji Stabs,-1
1326,TouchyEdgy,-1
1327,Metal Box,-1
1328,MilkyWays,-1
1329,New Elms,-1
1330,Pipebells,-1
1331,Synsitar,-1
1332,OctiLate,-1
1333,NoBoKuto,-1
1334,Syn Bright,-1
1335,Ting Voice,-1
1336,Bottlead,-1
1337,WhapSynth,-1
1338,DX-Flght,-1
1339,Take Off,-1
1340,DX-Helicpt,-1
1341,Helicopter,-1
1342,DX-Ship,-1
1343,DX-Train,-1
1344,Mobile,-1
1345,Motors,-1
1346,MotorCycle,-1
1347,U Boat,-1
1348,Ambulance,-1
1349,Whiz By,-1
1350,Out-Da-Way,-1
1351,Patrol Car,-1
1352,Sirens,-1
1353,DX-TelBusy,-1
1354,DX-TelCall,-1
1355,DX-TelTone,-1
1356,DX-TlRing1,-1
1357,DX-TlRing2,-1
1358,Bugs&Birds,-1
1359,DX-Insect1,-1
1360,DX-Insect2,-1
1361,DX-Piyo,-1
1362,DX-Growl 1,-1
1363,DX-Growl 2,-1
1364,Animals,-1
1365,DX-Wolf,-1
1366,ManEater,-1
1367,Alarm !,-1
1368,Aura,-1
1369,Chi-S&H,-1
1370,Closing,-1
1371,Computer,-1
1372,Crasher,-1
1373,DX-BigBen,-1
1374,DX-Wave,-1
1375,Descent,-1
1376,Doppler,-1
1377,Factory,-1
1378,GhostLine,-1
1379,Heart Beat,-1
1380,Imaging,-1
1381,IronEcho 1,-1
1382,IronEcho 2,-1
1383,MM-Fall,-1
1384,MachineGun,-1
1385,MobbyDick,-1
1386,On the Run,-1
1387,OuterLimit,-1
1388,Perc Shot,-1
1389,Repeater,-1
1390,Jet Cars 1,-1
1391,Scorchers,-1
1392,Sci-Fi Too,-1
1393,Jet Cars 2,-1
1394,Speak-One,-1
1395,Stopper,-1
1396,Super Foot,-1
1397,Talking DX,-1
1398,Transport,-1
1399,Turn Table,-1
1400,UfoTakeOff,-1
1401,Waterfall,-1
1402,Whik Shot,-1
1403,Bubblets,-1
1404,Yes Talk,-1
1405,Help me !,-1
1406,Paranoir,-1
1407,Screamy,-1
