index,name,category
293,E.Piano 11,-1
294,E.Piano 12,-1
295,E.Piano 13,-1
296,E.Piano 14,-1
297,E.Piano 15,-1
298,E.Piano 16,-1
299,E.Piano 17,-1
300,Aclectic,-1
301,DX-Road 1,-1
302,DX-Road 2,-1
303,DX-Road 3,-1
304,DX-Road 4,-1
305,DX-Road 5,-1
306,BrightEP 1,-1
307,BrightEP 2,-1
308,EP 1967,-1
309,EP 1970,-1
310,EP 1980,-1
311,EP 1985,-1
312,Soft EP 1,-1
313,Soft EP 2,-1
314,Soft EP 3,-1
315,Hard EP 1,-1
316,Hard EP 2,-1
317,Hard EP 3,-1
318,Hard EP 4,-1
319,Clicky EP,-1
320,Digitine,-1
321,Woody EP,-1
322,Metaltine,-1
323,Tinesquawk,-1
324,FullTine 1,-1
325,FullTine 2,-1
326,Wurli EP,-1
327,Wurli Road,-1
328,Dark Wurli,-1
329,Big Wurlt,-1
330,Andrian,-1
331,Blustig,-1
332,Woodmetal,-1
333,CastePiano,-1
334,Chorus EP,-1
335,BigJazzyEP,-1
336,ClearElPno,-1
337,NiteclubEP,-1
338,CosaRosa,-1
339,DX-Ragtime,-1
340,Digi Poly,-1
341,Duke EP,-1
342,DynoRoad,-1
343,Clavarpsi,-1
344,Wack EP,-1
345,HollowKeys,-1
346,HonkyTonk1,-1
347,HonkyTonk2,-1
348,PotlidKeyz,-1
349,Knock EP,-1
350,Knock Wack,-1
351,Mark III,-1
352,XtremeTine,-1
353,Mod ElPno,-1
354,3D Road,-1
355,PinchedEP,-1
356,No Tines,-1
357,Old Jazz,-1
358,Politti,-1
359,Pop Piano,-1
360,Prc ElPno,-1
361,Prds Piano,-1
362,Ratio Dob,-1
363,ThinnerEP,-1
364,Rezzo EP,-1
365,RubbaRoad,-1
366,SawBellEP,-1
367,QuikPlayEP,-1
368,Loud Piano,-1
369,Urban,-1
370,Vics EP,-1
371,DX Classic,-1
372,ToyPiano 1,-1
373,ToyPiano 2,-1
374,ToyPiano 3,-1
375,ToyPiano 4,-1
376,Plasticky,-1
377,Harpsi 1,-1
378,Harpsi 2,-1
379,Harpsi 3,-1
380,Harpsi 4,-1
381,Harpsi 5,-1
382,Harpsi 6,-1
383,Harpsi 7,-1
384,Harpsi 8,-1
385,Harpsi 9,-1
386,HarpsiWire,-1
387,AD 1600s 1,-1
388,AD 1600s 2,-1
389,AD 1900s,-1
390,Caffeine,-1
391,RazorWire,-1
392,Cembalim,-1
393,Cembalo,-1
394,ElecHarpsi,-1
395,Syn Harpsi,-1
396,DX-Clavi 1,-1
397,DX-Clavi 2,-1
398,DX-Clavi 3,-1
399,DX-Clavi 4,-1
400,DX-Clavi 5,-1
401,DX-Clavi 6,-1
402,DX-Clavi 7,-1
403,MM-Clavi 1,-1
404,MM-Clavi 2,-1
405,MM-Clavi 3,-1
406,BrightClv1,-1
407,BrightClv2,-1
408,BasoClavi,-1
409,ChorusClav,-1
410,Clavecin,-1
411,Clavi Comp,-1
412,ClaviExcel,-1
413,ClaviPluck,-1
414,ClaviStaff,-1
415,Mute Clavi,-1
416,Revinett,-1
417,SkeltonClv,-1
418,Celesta 1,-1
419,Celesta 2,-1
420,Celesta 3,-1
421,Celesta 4,-1
422,MM-Celesta,-1
423,Halloween,-1
424,Glocken 1,-1
425,Glocken 2,-1
426,Glocken 3,-1
427,Glocken 4,-1
428,Glocken 5,-1
429,Glocken 6,-1
430,HamerGlock,-1
431,Magiglokk,-1
432,AnvilGlock,-1
433,MetalGlock,-1
434,Perc Glock,-1
435,Glokenring,-1
436,SynGlock 1,-1
437,SynGlock 2,-1
438,MusicBox 1,-1
439,MusicBox 2,-1
440,MusicBox 3,-1
441,MusicBox 4,-1
442,MusicBox 5,-1
443,MusicBox 6,-1
444,MusicBox 7,-1
445,MusicBox 8,-1
446,MusicBox 9,-1
447,MusicBox10,-1
448,DX-Vibe 1,-1
449,DX-Vibe 2,-1
450,DX-Vibe 3,-1
451,DX-Vibe 4,-1
452,MM-Vibe 1,-1
453,MM-Vibe 2,-1
454,LFO Vibe,-1
455,Vocal Vibe,-1
456,Vibetron,-1
457,VibraPhone,-1
458,DX-Marimb1,-1
459,DX-Marimb2,-1
460,DX-Marimb3,-1
461,DX-Marimb4,-1
462,DX-Marimb5,-1
463,DX-Marimb6,-1
464,DX-Marimb7,-1
465,TineMallet,-1
466,Thumbpick,-1
467,EchoMalet1,-1
468,EchoMalet2,-1
469,EchoMalet3,-1
470,Congorimba,-1
471,Bamburimba,-1
472,BrightMrmb,-1
473,Guitarimba,-1
474,MellowMrmb,-1
475,Metal Mrmb,-1
476,DX-Xylo 1,-1
477,DX-Xylo 2,-1
478,DX-Xylo 3,-1
479,DX-Xylo 4,-1
480,DX-Xylo 5,-1
481,DX-Xylo 6,-1
482,Dual Xylo,-1
483,Xylo Log,-1
484,Syn Xylo,-1
485,Digi Xylo,-1
486,DX-Bell 1,-1
487,DX-Bell 2,-1
488,DX-Bell 3,-1
489,DX-Bell 4,-1
490,DX-Bell 5,-1
491,DX-Bell 6,-1
492,DX-Bell 7,-1
493,DX-Bell 8,-1
494,DX-Bell 9,-1
495,DX-Bell 10,-1
496,DX-Bell 11,-1
497,DX-Bell 12,-1
498,SparklBell,-1
499,Wire Bell,-1
500,DualSparkl,-1
501,BellGlassy,-1
502,MM-Bell,-1
503,Crystal 1,-1
504,Crystal 2,-1
505,SoftBell 1,-1
506,SoftBell 2,-1
507,Bell Pluck,-1
508,Blow Bell,-1
509,Carillon,-1
510,BellKeyzis,-1
511,Digi Log,-1
512,DumBells,-1
513,MellowBell,-1
514,Mini Bell,-1
515,Child Bell,-1
516,PPP Thing,-1
517,Stonemetal,-1
518,Syn Chime,-1
519,Air Bell,-1
520,WrapRound,-1
521,TempleBel1,-1
522,TempleBel2,-1
523,TempleBel3,-1
524,TempleBel4,-1
525,TempleBel5,-1
526,DX-Dlcm 1,-1
527,DX-Dlcm 2,-1
528,DX-Dlcm 3,-1
529,Frozentime,-1
530,MetalDlcmr,-1
531,Silk Road,-1
532,Full Organ,-1
533,DrawOrgan1,-1
534,DrawOrgan2,-1
535,DrawOrgan3,-1
536,DrawOrgan4,-1
537,DrawOrgan5,-1
538,DrawOrgan6,-1
539,DrawOrgan7,-1
540,DrawOrgan8,-1
541,DrawOrgan9,-1
542,DrawOrgn10,-1
543,DrawOrgn11,-1
544,DrawOrgn12,-1
545,DrawOrgn13,-1
546,DrawOrgn14,-1
547,DrawOrgn15,-1
548,DrawOrgn16,-1
549,Organsynth,-1
550,ChorusOrgn,-1
551,RotaryOrgn,-1
552,CirkusOrgn,-1
553,JazzDrwbr,-1
554,Keyclick,-1
555,VibraOrgan,-1
556,Farf Out,-1
557,Grinder,-1
558,JazzOrgan1,-1
559,JazzOrgan2,-1
560,PercOrgan1,-1
561,PercOrgan2,-1
562,PercOrgan3,-1
563,PercOrgan4,-1
564,PercOrgan5,-1
565,PercOrgan6,-1
566,PercOrgan7,-1
567,PercOrgan8,-1
568,PercOrgan9,-1
569,PercOrgn10,-1
570,PercOrgn11,-1
571,PercOrgn12,-1
572,PercOrgn13,-1
573,PercOrgn14,-1
574,PercOrgn15,-1
575,PercOrgn16,-1
576,PercOrgn17,-1
577,XtraPerc,-1
578,Road Organ,-1
579,Fluteorgan,-1
580,ClickNoise,-1
581,Novalis,-1
582,TouchOrgan,-1
583,RockOrgan1,-1
584,RockOrgan2,-1
585,RockOrgan3,-1
586,RockOrgan4,-1
587,RockOrgan5,-1
588,RockOrgan6,-1
589,RockOrgan7,-1
590,RockOrgan8,-1
591,RockOrgan9,-1
592,RockOrgn10,-1
593,RockOrgn11,-1
594,RockOrgn12,-1
595,RockOrgn13,-1
596,RockOrgn14,-1
597,RockOrgn15,-1
598,Vox Organ,-1
599,SynOrgan 1,-1
600,SynOrgan 2,-1
601,PlasticOrg,-1
602,PipeOrgan1,-1
603,PipeOrgan2,-1
604,PipeOrgan3,-1
605,PipeOrgan4,-1
606,PipeOrgan5,-1
607,PipeOrgan6,-1
608,PipeOrgan7,-1
609,PipeOrgan8,-1
610,TheatreOrg,-1
611,SmallPipes,-1
612,ChorusPipe,-1
613,Wedding,-1
614,DX-Chrch 1,-1
615,DX-Chrch 2,-1
616,BrightOrgn,-1
617,TamePipe,-1
618,PuffOrgan1,-1
619,PuffOrgan2,-1
620,Late Down,-1
621,SoftReedOr,-1
622,SteamOrgan,-1
623,StreetOrgn,-1
624,DX-Acrd 1,-1
625,DX-Acrd 2,-1
626,DX-Acrd 3,-1
627,DX-Acrd 4,-1
628,DX-Acrd 5,-1
629,DX-Acrd 6,-1
630,DX-TngAc,-1
631,DX-Hmnc 1,-1
632,DX-Hmnc 2,-1
